Level,Text,Href,FullURL,ParentPath,FullPath,Title,ChildrenCount
0,HOME,/content/mca/global/en/home.html,https://www.mca.gov.in/content/mca/global/en/home.html,,HOME,,0
0,About MCA,/content/mca/global/en/about-us.html,https://www.mca.gov.in/content/mca/global/en/about-us.html,,About MCA,,7
1,About MCA,/content/mca/global/en/about-us/aboutmca.html,https://www.mca.gov.in/content/mca/global/en/about-us/aboutmca.html,About MCA,About MCA > About MCA,,0
1,Image Gallery,/content/mca/global/en/about-us/image-gallery.html,https://www.mca.gov.in/content/mca/global/en/about-us/image-gallery.html,About MCA,About MCA > Image Gallery,,0
1,Right To Information,/content/mca/global/en/about-us/right-to-information.html,https://www.mca.gov.in/content/mca/global/en/about-us/right-to-information.html,About MCA,About MCA > Right To Information,,3
2,"Disclosure of information under Section 4(1)(b) of the RTI Act, 2005",/content/mca/global/en/about-us/right-to-information/disclosure.html,https://www.mca.gov.in/content/mca/global/en/about-us/right-to-information/disclosure.html,About MCA > Right To Information,"About MCA > Right To Information > Disclosure of information under Section 4(1)(b) of the RTI Act, 2005",,0
2,Orders,/content/mca/global/en/about-us/right-to-information/orders.html,https://www.mca.gov.in/content/mca/global/en/about-us/right-to-information/orders.html,About MCA > Right To Information,About MCA > Right To Information > Orders,,0
2,List of CPIOs/ AAs,/content/mca/global/en/about-us/right-to-information/list-of-cpios--aas.html,https://www.mca.gov.in/content/mca/global/en/about-us/right-to-information/list-of-cpios--aas.html,About MCA > Right To Information,About MCA > Right To Information > List of CPIOs/ AAs,,0
1,Newsletters,/content/mca/global/en/about-us/newsletter.html,https://www.mca.gov.in/content/mca/global/en/about-us/newsletter.html,About MCA,About MCA > Newsletters,,0
1,Achievements,/content/mca/global/en/about-us/achievements.html,https://www.mca.gov.in/content/mca/global/en/about-us/achievements.html,About MCA,About MCA > Achievements,,0
1,MCA Offices,/content/mca/global/en/about-us/mca-offices.html,https://www.mca.gov.in/content/mca/global/en/about-us/mca-offices.html,About MCA,About MCA > MCA Offices,,0
1,Affiliated Offices,/content/mca/global/en/about-us/affiliated-offices.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices.html,About MCA,About MCA > Affiliated Offices,,13
2,Competition Commission of India,/content/mca/global/en/about-us/affiliated-offices/cci.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/cci.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Competition Commission of India,,0
2,Insolvency and Bankruptcy Board of India,/content/mca/global/en/about-us/affiliated-offices/ibbi.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/ibbi.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Insolvency and Bankruptcy Board of India,,0
2,Institute of Chartered Accountants of India,/content/mca/global/en/about-us/affiliated-offices/icai.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/icai.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Institute of Chartered Accountants of India,,0
2,Institute of Cost Accountants of India,/content/mca/global/en/about-us/affiliated-offices/icoai.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/icoai.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Institute of Cost Accountants of India,,0
2,Institute of Company Secretaries of India,/content/mca/global/en/about-us/affiliated-offices/icsi.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/icsi.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Institute of Company Secretaries of India,,0
2,Investor Education And Protection Fund Authority,/content/mca/global/en/about-us/affiliated-offices/iepfa.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/iepfa.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Investor Education And Protection Fund Authority,,0
2,Indian Institute Of Corporate Affairs,/content/mca/global/en/about-us/affiliated-offices/iica.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/iica.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Indian Institute Of Corporate Affairs,,0
2,National Company Law Appellate Tribunal,/content/mca/global/en/about-us/affiliated-offices/nclat.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/nclat.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > National Company Law Appellate Tribunal,,0
2,National Company Law Tribunal,/content/mca/global/en/about-us/affiliated-offices/nclt.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/nclt.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > National Company Law Tribunal,,0
2,National Foundation for Corporate Governance,/content/mca/global/en/about-us/affiliated-offices/nfcg.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/nfcg.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > National Foundation for Corporate Governance,,0
2,National Financial Reporting Authority,/content/mca/global/en/about-us/affiliated-offices/nfra.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/nfra.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > National Financial Reporting Authority,,0
2,National Foundation for Corporate Social Responsibility,/content/mca/global/en/about-us/affiliated-offices/nfcsr.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/nfcsr.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > National Foundation for Corporate Social Responsibility,,0
2,Serious Fraud Investigation Office,/content/mca/global/en/about-us/affiliated-offices/sfo.html,https://www.mca.gov.in/content/mca/global/en/about-us/affiliated-offices/sfo.html,About MCA > Affiliated Offices,About MCA > Affiliated Offices > Serious Fraud Investigation Office,,0
