text,href,domain,type
Sitemap,/content/mca/global/en/sitemap.html,www.mca.gov.in (relative),INTERNAL
,/content/mca/global/en/home.html,www.mca.gov.in (relative),INTERNAL
Login/Register,/content/mca/global/en/foportal/fologin.html,www.mca.gov.in (relative),INTERNAL
HOME,/content/mca/global/en/home.html,www.mca.gov.in (relative),INTERNAL
About MCA,/content/mca/global/en/about-us.html,www.mca.gov.in (relative),INTERNAL
About MCA,/content/mca/global/en/about-us/aboutmca.html,www.mca.gov.in (relative),INTERNAL
Image Gallery,/content/mca/global/en/about-us/image-gallery.html,www.mca.gov.in (relative),INTERNAL
Right To Information,/content/mca/global/en/about-us/right-to-information.html,www.mca.gov.in (relative),INTERNAL
"Disclosure of information under Section 4(1)(b) of the RTI Act, 2005",/content/mca/global/en/about-us/right-to-information/disclosure.html,www.mca.gov.in (relative),INTERNAL
Orders,/content/mca/global/en/about-us/right-to-information/orders.html,www.mca.gov.in (relative),INTERNAL
List of CPIOs/ AAs,/content/mca/global/en/about-us/right-to-information/list-of-cpios--aas.html,www.mca.gov.in (relative),INTERNAL
Newsletters,/content/mca/global/en/about-us/newsletter.html,www.mca.gov.in (relative),INTERNAL
Achievements,/content/mca/global/en/about-us/achievements.html,www.mca.gov.in (relative),INTERNAL
MCA Offices,/content/mca/global/en/about-us/mca-offices.html,www.mca.gov.in (relative),INTERNAL
Affiliated Offices,/content/mca/global/en/about-us/affiliated-offices.html,www.mca.gov.in (relative),INTERNAL
Competition Commission of India,/content/mca/global/en/about-us/affiliated-offices/cci.html,www.mca.gov.in (relative),INTERNAL
Insolvency and Bankruptcy Board of India,/content/mca/global/en/about-us/affiliated-offices/ibbi.html,www.mca.gov.in (relative),INTERNAL
Institute of Chartered Accountants of India,/content/mca/global/en/about-us/affiliated-offices/icai.html,www.mca.gov.in (relative),INTERNAL
Institute of Cost Accountants of India,/content/mca/global/en/about-us/affiliated-offices/icoai.html,www.mca.gov.in (relative),INTERNAL
Institute of Company Secretaries of India,/content/mca/global/en/about-us/affiliated-offices/icsi.html,www.mca.gov.in (relative),INTERNAL
Investor Education And Protection Fund Authority,/content/mca/global/en/about-us/affiliated-offices/iepfa.html,www.mca.gov.in (relative),INTERNAL
Indian Institute Of Corporate Affairs,/content/mca/global/en/about-us/affiliated-offices/iica.html,www.mca.gov.in (relative),INTERNAL
